Jailer
Rocky Aur Rani Kii Prem Kahaani
OMG 2
Sukhee
The Great Indian Family
The BFG
Pathaan
Mastaney
Satyaprem Ki Katha
Lion
Bholaa Shankar
Friday Night Plan
Neeyat
Gadar 2
Por Thozhil
Life of Pi
Asoka
The Darjeeling Limited
Dangal
Tumbbad
Dunki
Sirf Ek Bandaa Kaafi Hai
Gangs of Wasseypur
Khufiya
Animal
Miss Shetty Mr Polishetty
Bawaal
Brahmastra Part One: Shiva
Ghoomer
Tiger 3
Tu Jhoothi Main Makkaar
Drishyam 2
PK
My Name Is Khan
Raees
Rama Banam
Andhadhun
Thank You for Coming
Dream Girl 2
Kushi
Taare Zameen Par
Drishyam
Chor Nikal Ke Bhaga
Gangubai Kathiawadi
Gaslight
The Buckingham Murders
Fighter
Bholaa
Om Shanti Om
Kabhi Khushi Kabhie Gham...
The Kerala Story
Vikram Vedha
"Swades: We, the People"
Bajrangi Bhaijaan
Bloody Daddy
The Hundred-Foot Journey
The Kashmir Files
Akelli
OMG: Oh My God!
Adipurush
IB 71
Padmaavat
Zindagi Na Milegi Dobara
Jab Tak Hai Jaan
Monica O My Darling
Bhediya
Ra.One
Laal Singh Chaddha
Don 2
Chup
Don
Devdas
Badla
Gumraah
The Lunchbox
Zara Hatke Zara Bachke
Street Fighter: The Legend of Chun-Li
Ganapath
Kalki 2898-AD
Kal Ho Naa Ho
Bride & Prejudice
The White Tiger
Lust Stories 2
Bajirao Mastani
Dear Zindagi
Chhichhore
Freddy
Yeh Jawaani Hai Deewani
Sir
Mrs. Chatterjee vs. Norway
Munna Bhai M.B.B.S.
Fan
Welcome to the Jungle
Vikram Vedha
Lagaan: Once Upon a Time in India
Trial Period
Kathal: A Jackfruit Mystery
Sardar Udham
Kisi Ka Bhai Kisi Ki Jaan
King of Kotha
Ek Tha Tiger
HIT: The First Case
Singham Again
The Second Best Exotic Marigold Hotel
Kill
October
An Action Hero
The Vaccine War
Jab We Met
K.G.F: Chapter 1
Mimi
Afwaah
Godfather
Laila Majnu
Ghajini
Jab Harry Met Sejal
Barfi!
Mumbai Meri Jaan
Ludo
Haider
Mission Majnu
Talaash
Ae Dil Hai Mushkil
A Wednesday
Wajah Tum Ho
Raazi
Dil Chahta Hai
Bye2
Darlings
Runway 34
Masaan
Sanju
Govinda Naam Mera
Rockstar
Mom
Kalank
Article 15
Lust Stories
Shehzada
Zero
A Thursday
Rang De Basanti
Rocketry: The Nambi Effect
Dilwale
Jug Jugg Jeeyo
Gully Boy
Chennai Express
War
Shershaah
Student of the Year 2
Qala
Talvar
Kuttey
Fukrey 3
Dangerous
Bang Bang
Hey Ram
Selfiee
Veer-Zaara
Goliyon Ki Rasleela Ram-Leela
Thugs of Hindostan
Bheed
Kabhi Alvida Naa Kehna
Badhaai Do
Prem Ki Shaadi
Ghost Stories
Pushpa: The Rule - Part 2
Climax
Stree
Monsoon Wedding
Delhi Belly
Mission Raniganj
Main Hoon Na
Gadar: Ek Prem Katha
Bhagwan Bharose
Omkara
Chak De! India
Mohabbatein
Krrish 3
Kabir Singh
Raat Akeli Hai
Housefull 4
Happy New Year
Ittefaq
Sultan
Dil Dhadakne Do
Dhokha: Round D Corner
The Other Side of the Door
Omerta
Maqbool
Cirkus
Merry Christmas
Badlapur
Kaun Kitney Paani Mein
Karwaan
Fukrey
Mili
Ugly
Rab Ne Bana Di Jodi
Tiger Zinda Hai
Once Upon a Time in Mumbaai
Salaam Venky
Vadh
Faraaz
Section 375
Shiddat
Jalpari: The Desert Mermaid
The Girl on the Train
Piku
Kennedy
Company
Kahaani
Laapataa Ladies
Goodbye
Uri: The Surgical Strike
Sooryavanshi
Highway
Tamasha
Operation Mayfair
Agneepath
Lootera
Dostana
Dream Girl
Chandigarh Kare Aashiqui
Dhoom:3
U Turn
Haseen Dillruba
Blurr
Shamshera
Bareilly Ki Barfi
Thar
Bade Miyan Chote Miyan
Uunchai
No Smoking
Dobaaraa
Bulbbul
Kapoor & Sons
The Crew
The Archies
Mumbaikar
Yodha
Jalsa
Game Changer
Gulaal
Raid
Black Friday
The Sky Is Pink
Student of the Year
Jodhaa Akbar
Jersey
Gehraiyaan
Queen
Dabangg 3
Ala Vaikunthapurramuloo
Kolai
Dhoom
Super 30
A Death in the Gunj
Dhoom:2
Kaabil
Shootout at Byculla
Dum Laga Ke Haisha
Fukrey Returns
Ek Villain
Kick
Shaitan
Raksha Bandhan
Cuttputlli
Housefull 5
Pyaar Ka Punchnama
Billu
Jaane Tu... Ya Jaane Na
Dil Bechara
Hera Pheri
Bhool Bhulaiyaa
Aashiqui 2
Kurbaan
Don 3: The Final Chapter
Zid
Ajeeb Daastaans
Simmba
Dabangg
Waltair Veerayya
Jogira Sara Ra Ra
Checkmate
Krrish
Udaan
Water
Guzaarish
Koi... Mil Gaya
Table No.21
Murder 3
Taish
Secret Superstar
Dhaakad
Sarkar
Chandu Champion
Major
Doctor G
Viceroy's House
M.S. Dhoni: The Untold Story
Singham
Bhaag Milkha Bhaag
All Ladies Do It
Bhavesh Joshi Superhero
Desi Boyz
Pataakha
Angrezi Medium
Janaki Jaane
Shahid
B.A. Pass
Radhe
Liger
Kamasutra 3D
Untitled Vikas Bahl/Jio Studios Project
Cocktail
Bhagam Bhag
Newton
Made in China
Kai po che!
Babumoshai Bandookbaaz
Humpty Sharma Ki Dulhania
Chatrapathi
Kaminey
Karthik Calling Karthik
Trapped
Qarib Qarib Singlle
Baaghi 3
Darbar
Bhool Bhulaiyaa 2
Udta Punjab
Agra
Notebook
Tara vs Bilal
Matru Ki Bijlee Ka Mandola
Garam Masala
Ek Villain Returns
Kambakkht Ishq
Metro.... In Dino
Go Goa Gone
Dhamaka
Cobalt Blue
Manorama: Six Feet Under
Antim: The Final Truth
Welcome Back
Good Newwz
New York
Detective Byomkesh Bakshy!
Ram Setu
Devara
Life in a Metro
Aligarh
Pink
Anek
Befikre
Sonu Ke Titu Ki Sweety
Baghban
Kanjoos Makhichoos
Tubelight
Anbe Sivam
Hum Tum
Special Chabbis
Dasvi
Mrs Undercover
Vicky Donor
Bodyguard
Kahaani 2
Malaikottai Vaaliban
Bellbottom
Kaagaz
Meri Pyaari Bindu
Namastey London
Welcome
Main Tera Hero
Singham Returns
Jagga Jasoos
India Lockdown
Parched
Sam Bahadur
Malang - Unleash the Madness
Aladin
Madras Cafe
Race 3
Mrs. Serial Killer
Any Body Can Dance 2
Manmarziyaan
Tere Naam
Tiku weds Sheru
Housefull 3
Toilet - Ek Prem Katha
Aitraaz
Bob Biswas
Ladies vs. Ricky Bahl
Johnny Gaddaar
Thunivu
Photograph
Tashan
Hum Do Hamare Do
Saaho
We Are Family
Housefull 2
Baby
Code Name: Tiranga
Mujhse Shaadi Karogi
Ajnabee
Bachna Ae Haseeno
Chef
Dev.D
Spy
Mission Kashmir
Jayeshbhai Jordaar
Pichaikkaran 2
Hazaaron Khwaishein Aisi
The Lovers
The Big Bull
Heropanti 2
Te3n
Hungama 2
Indian 2
Boom
Shaandaar
Samrat Prithviraj
Bharat
Laxmii
Aazam
Serious Men
JGM (JanaGanaMana)
Josh
Footfairy
Zinda
Non Stop Dhamaal
Ishq-e-nadaan
Fitoor
Jawaani Jaaneman
Batla House
Gabbar Is Back
Partner
Awara Paagal Deewana
A Flying Jatt
Jogi
Tadka
Paheli
Radhe Shyam
English Vinglish
Koi Jaane Na
Rustom
Chup Chup Ke
Hate Story
Tees Maar Khan
Mard Ko Dard Nahin Hota
Sadak 2
Black
Fanaa
Yaariyan 2
Yuva
Wanted
Motichoor Chaknachoor
Paan Singh Tomar
Sharmaji Namkeen
Music School
Satyameva Jayate 2
Laal Kaptaan
Manto
Khakee
Yeh Saali Aashiqui
Lakshya
Badhaai ho
Trishna
Guilty
Thank God
Baaghi
Bombay Velvet
Once Upon a Time in Mumbai Dobaara!
Shaadi Mein Zaroor Aana
Lage Raho Munna Bhai
Luka Chuppi
Shor in the City
Tanhaji: The Unsung Warrior
Neymar
AK vs AK
Sarbjit
Connect
Welcome Home
Padman
Laththi
Raman Raghav 2.0
Dhobi Ghat
Jersey
Bala
Guru
Stolen
Deewane Huye Paagal
Nail Polish
Jaadugar
Jism 2
Three of Us
Bhootnath
Ascharyachakit!
Chillar Party
Chakda Xpress
I Hate Luv Storys
Wazir
Singh Is Kinng
Holiday
Attack
Janhit Mein Jaari
Vinaya Vidheya Rama
Hate Story IV
Rocky Handsome
Dhamaal
Pyaar Ka Punchnama 2
Untitled Blumhouse Productions Film
Chalte Chalte
Sanam Teri Kasam
Bunty Aur Babli
Agent Vinod
Airlift
Judwaa 2
Paanch
Rowdy Rathore
Sanak
Visfot
Skater Girl
Raincoat
Murder
Mujhse Dosti Karoge!
Veerappan
Madly
One Friday Night
Khuda Haafiz
Mohenjo Daro
Atrangi Re
Aakrosh
Chhapaak
Anjaana Anjaani
No One Killed Jessica
Gurgaon
Lift
D-Day
Khuda Haafiz Chapter II: Agni Pariksha
The Body
Mukkabaaz
Gali Guleiyan
Phir Hera Pheri
Zwigato
Hindi Medium
Love Aaj Kal
Bheeshma
Chopsticks
Pagglait
Heroine
Shanghai
Naam Shabana
Singh Is Bliing
